__time,/amcl_pose/header/seq,/amcl_pose/header/stamp,/amcl_pose/pose/covariance[0],/amcl_pose/pose/covariance[10],/amcl_pose/pose/covariance[11],/amcl_pose/pose/covariance[12],/amcl_pose/pose/covariance[13],/amcl_pose/pose/covariance[14],/amcl_pose/pose/covariance[15],/amcl_pose/pose/covariance[16],/amcl_pose/pose/covariance[17],/amcl_pose/pose/covariance[18],/amcl_pose/pose/covariance[19],/amcl_pose/pose/covariance[1],/amcl_pose/pose/covariance[20],/amcl_pose/pose/covariance[21],/amcl_pose/pose/covariance[22],/amcl_pose/pose/covariance[23],/amcl_pose/pose/covariance[24],/amcl_pose/pose/covariance[25],/amcl_pose/pose/covariance[26],/amcl_pose/pose/covariance[27],/amcl_pose/pose/covariance[28],/amcl_pose/pose/covariance[29],/amcl_pose/pose/covariance[2],/amcl_pose/pose/covariance[30],/amcl_pose/pose/covariance[31],/amcl_pose/pose/covariance[32],/amcl_pose/pose/covariance[33],/amcl_pose/pose/covariance[34],/amcl_pose/pose/covariance[35],/amcl_pose/pose/covariance[3],/amcl_pose/pose/covariance[4],/amcl_pose/pose/covariance[5],/amcl_pose/pose/covariance[6],/amcl_pose/pose/covariance[7],/amcl_pose/pose/covariance[8],/amcl_pose/pose/covariance[9],/amcl_pose/pose/pose/orientation/w,/amcl_pose/pose/pose/orientation/x,/amcl_pose/pose/pose/orientation/y,/amcl_pose/pose/pose/orientation/z,/amcl_pose/pose/pose/position/x,/amcl_pose/pose/pose/position/y,/amcl_pose/pose/pose/position/z,Lower Bound X,Lower Bound Y,Upper Bound X,Upper Bound Y
1686072672.727312,1.000000000,1686072672.671326637,0.003660264,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000199377,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.005337967,0.000000000,0.000000000,0.000000000,-0.000199377,0.004571909,0.000000000,0.000000000,0.999822275,0.000000000,0.000000000,-0.018852534,0.033953931,-0.002801440,0.000000000,-0.087046307,-0.138033234,0.154954169,0.132430353
1686072674.276182,2.000000000,1686072674.277539015,0.003467149,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000205270,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004763872,0.000000000,0.000000000,0.000000000,-0.000205270,0.004153813,0.000000000,0.000000000,0.999730794,0.000000000,0.000000000,-0.023202149,0.079904196,-0.008064948,0.000000000,-0.037860812,-0.136965111,0.197669203,0.120835216
1686072674.708673,3.000000000,1686072674.679978371,0.003844014,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000266407,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.005116522,0.000000000,0.000000000,0.000000000,-0.000266407,0.003889678,0.000000000,0.000000000,0.999747329,0.000000000,0.000000000,-0.022478390,0.161587178,-0.012584647,0.000000000,0.037586945,-0.137319206,0.285587412,0.112149912
1686072675.101010,4.000000000,1686072675.081214190,0.004179217,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000325393,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004639211,0.000000000,0.000000000,0.000000000,-0.000325393,0.003480620,0.000000000,0.000000000,0.999729365,0.000000000,0.000000000,-0.023263619,0.240405783,-0.020462199,0.000000000,0.111112053,-0.138455753,0.369699513,0.097531355
1686072675.513415,5.000000000,1686072675.482491970,0.004540968,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000665362,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004076155,0.000000000,0.000000000,0.000000000,-0.000665362,0.003597482,0.000000000,0.000000000,0.999648427,0.000000000,0.000000000,-0.026514581,0.314042972,-0.030456782,0.000000000,0.179269562,-0.150414811,0.448816382,0.089501248
1686072675.915748,6.000000000,1686072675.883731365,0.006275122,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000862667,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004131312,0.000000000,0.000000000,0.000000000,-0.000862667,0.003110042,0.000000000,0.000000000,0.999258936,0.000000000,0.000000000,-0.038491289,0.385726944,-0.030399030,0.000000000,0.227295612,-0.141934536,0.544158275,0.081136476
1686072676.308105,7.000000000,1686072676.284947872,0.007080750,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001094131,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004021374,0.000000000,0.000000000,0.000000000,-0.001094131,0.002786240,0.000000000,0.000000000,0.998433744,0.000000000,0.000000000,-0.055946933,0.464506222,-0.039151780,0.000000000,0.296211833,-0.144721472,0.632800612,0.066417911
1686072676.720485,8.000000000,1686072676.686172009,0.007071010,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001168441,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004656013,0.000000000,0.000000000,0.000000000,-0.001168441,0.002695624,0.000000000,0.000000000,0.996934781,0.000000000,0.000000000,-0.078237097,0.535089761,-0.048948173,0.000000000,0.366911160,-0.152786968,0.703268362,0.054890623
1686072677.132888,9.000000000,1686072677.091149092,0.007314183,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001588335,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004685727,0.000000000,0.000000000,0.000000000,-0.001588335,0.002667978,0.000000000,0.000000000,0.994802675,0.000000000,0.000000000,-0.101821599,0.606164264,-0.065252071,0.000000000,0.435118273,-0.168557008,0.777210254,0.038052867
1686072677.726367,10.000000000,1686072677.689743757,0.008339700,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001378213,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.006306545,0.000000000,0.000000000,0.000000000,-0.001378213,0.002713290,0.000000000,0.000000000,0.999683329,0.000000000,0.000000000,-0.025164304,0.708779831,-0.084870736,0.000000000,0.526135912,-0.189049245,0.891423750,0.019307773
