__time,/amcl_cov/data,/amcl_error/data,/amcl_num_particles/data
1686072674.276674,0.261473805,0.008234550,836.000000000
1686072674.709197,,0.010226957,
1686072674.719257,0.249102876,,775.000000000
1686072675.101415,0.217946589,0.012840137,396.000000000
1686072675.513742,0.242986411,0.015248276,328.000000000
1686072675.915982,,0.017421886,
1686072675.926039,0.222428650,,526.000000000
1686072676.308256,0.218170121,0.019414913,590.000000000
1686072676.720593,0.256429195,0.021910012,775.000000000
1686072677.132917,0.237677917,0.024871239,714.000000000
1686072677.726319,0.308871478,0.027322410,652.000000000
1686072678.118578,,0.030146869,
1686072678.128642,0.309569955,,590.000000000
1686072678.490695,0.274800271,0.032810852,652.000000000
1686072678.892995,0.334004253,0.035685346,652.000000000
1686072679.315429,0.328201264,0.039024319,836.000000000
1686072679.757944,0.330089986,0.042596526,956.000000000
1686072680.130093,,0.046051003,
1686072680.140153,0.334294766,,956.000000000
1686072680.512265,0.328253001,0.049645338,956.000000000
1686072680.964843,0.256446779,0.053534918,652.000000000
1686072681.357092,0.247330964,0.057201598,462.000000000
1686072681.739317,0.237635598,0.060508166,462.000000000
1686072682.111554,0.257707179,0.063649274,396.000000000
1686072682.503790,0.256678283,0.066253759,328.000000000
1686072682.906145,,0.068752609,
1686072682.916205,0.245918050,,462.000000000
1686072683.308466,0.230299622,0.070804417,462.000000000
1686072683.710772,0.248118237,0.073141791,462.000000000
1686072684.314216,0.262214601,0.075250410,201.000000000
1686072684.726644,0.296010464,0.077347554,462.000000000
1686072685.149065,0.304332346,0.079596579,526.000000000
1686072685.551346,0.297590494,0.081996322,590.000000000
1686072685.913445,,0.084201366,
1686072685.923512,0.335985094,,652.000000000
1686072686.345930,0.350123793,0.086312294,652.000000000
1686072686.728145,0.328501374,0.088291310,590.000000000
1686072687.140488,,0.090301596,
1686072687.150551,0.279896975,,328.000000000
1686072687.563002,0.309584141,0.092413992,526.000000000
1686072687.935136,0.351931900,0.094367392,590.000000000
1686072688.367576,0.382548660,0.096204571,652.000000000
1686072688.729616,0.336316824,0.097738229,462.000000000
1686072689.141980,0.304208070,0.099190921,462.000000000
1686072689.594602,0.269747943,0.100698099,462.000000000
1686072690.167908,0.323047489,0.101967603,462.000000000
1686072690.600396,,0.103401795,
1686072690.610452,0.329159379,,526.000000000
1686072690.982493,,0.104582131,
1686072690.992553,0.319018006,,526.000000000
1686072691.374823,0.307447523,0.105791181,396.000000000
1686072691.747025,0.340682060,0.106881469,462.000000000
1686072692.189630,0.317695022,0.108093955,462.000000000
1686072692.602049,0.344205528,0.109214105,462.000000000
1686072692.984246,0.291728765,0.110142961,462.000000000
1686072693.386550,0.307715654,0.110948049,526.000000000
1686072693.798836,0.328393430,0.112001047,462.000000000
1686072694.171039,0.280546337,0.113084242,328.000000000
1686072694.754392,0.301394850,0.114160560,462.000000000
1686072695.166792,0.318236232,0.115273878,526.000000000
1686072695.548961,0.314818263,0.116297089,775.000000000
1686072695.961314,0.314190120,0.117352292,896.000000000
1686072696.373596,0.299718678,0.118357606,896.000000000
1686072696.745735,,0.119208045,
1686072696.755794,0.294803172,,590.000000000
1686072697.208437,0.319561422,0.120094247,396.000000000
1686072697.610791,,0.120954223,
1686072697.620868,0.331039667,,714.000000000
1686072698.033204,0.326614320,0.121962696,652.000000000
1686072698.405358,0.301756710,0.122838520,714.000000000
1686072698.777507,,0.123656541,
1686072698.787573,0.327449799,,836.000000000
1686072699.189848,,0.124433756,
1686072699.199907,0.384402186,,714.000000000
1686072699.592170,0.293190271,0.125280172,462.000000000
1686072699.994535,0.270946473,0.126153231,396.000000000
1686072700.386707,,0.126979008,
1686072700.396765,0.299407184,,652.000000000
1686072700.778971,0.313277304,0.127838254,775.000000000
1686072701.161227,,0.128727421,
1686072701.171289,0.278571010,,775.000000000
1686072701.563559,,0.129658118,
1686072701.573624,0.279642284,,714.000000000
1686072701.965860,0.258633047,0.130425617,590.000000000
1686072702.418399,0.289250463,0.131182030,462.000000000
1686072702.780501,0.296883285,0.132006168,201.000000000
1686072703.192916,0.254325867,0.132807568,258.000000000
1686072703.605389,0.238239437,0.133626431,462.000000000
1686072704.017623,0.249513581,0.134373978,526.000000000
1686072704.399750,0.248117328,0.135138348,526.000000000
1686072704.842167,,0.135830045,
1686072704.852225,0.274354815,,714.000000000
1686072705.224225,0.303112358,0.136479601,590.000000000
1686072705.596363,0.265924543,0.137099445,526.000000000
1686072706.018781,0.292944044,0.137662247,462.000000000
1686072706.441126,0.291636705,0.138238743,526.000000000
1686072706.833370,0.340225458,0.138773322,714.000000000
1686072707.215486,0.326924592,0.139295697,836.000000000
1686072707.647994,0.333315581,0.139771640,775.000000000
1686072708.040227,,0.140234917,
1686072708.050300,0.359741777,,714.000000000
1686072708.432483,,0.140721709,
1686072708.442543,0.303402632,,652.000000000
1686072708.804697,0.306018353,0.141240954,590.000000000
1686072709.247290,0.298948735,0.141725570,258.000000000
1686072709.589262,0.299578726,0.142222226,396.000000000
1686072710.031803,0.312287837,0.142659977,328.000000000
1686072710.424014,0.213904381,0.143128663,396.000000000
1686072710.846366,0.225767568,0.143560067,590.000000000
1686072711.218620,0.262125373,0.144028813,836.000000000
1686072711.631040,,0.144442976,
1686072711.641106,0.247635722,,775.000000000
1686072712.226464,0.290366620,0.144924000,590.000000000
1686072712.638911,0.247156605,0.145469680,258.000000000
1686072713.041303,0.236569315,0.145987049,258.000000000
1686072713.433452,0.265234947,0.146543279,201.000000000
1686072713.855911,0.267594069,0.147093534,328.000000000
1686072714.228026,,0.147614673,
1686072714.238086,0.319329858,,714.000000000
1686072714.660498,0.272716314,0.148107395,775.000000000
1686072715.062820,0.248037666,0.148632884,836.000000000
1686072715.485189,0.286135346,0.149088562,896.000000000
1686072715.867427,,0.149510607,
1686072715.877489,0.270973384,,396.000000000
1686072716.229504,0.265356481,0.149950430,396.000000000
1686072716.672028,0.262927413,0.150377750,328.000000000
1686072717.064258,0.361362040,0.150810391,396.000000000
1686072717.446460,0.380553752,0.151151881,526.000000000
1686072717.848778,0.379420668,0.151458323,462.000000000
1686072718.241042,0.377761066,0.151722282,526.000000000
1686072718.623209,0.374574244,0.151815653,526.000000000
1686072719.045624,0.238498405,0.151804253,328.000000000
1686072719.437815,,0.151782915,
1686072719.447875,0.233473256,,201.000000000
1686072719.850183,0.296612978,0.151733667,462.000000000
1686072720.333088,0.300024688,0.151582882,714.000000000
1686072720.665016,0.283478200,0.151440471,714.000000000
1686072721.097474,0.295498788,0.151273370,836.000000000
1686072721.469650,0.258743614,0.151027054,652.000000000
1686072721.851802,0.279387593,0.150716215,462.000000000
1686072722.274224,0.266916335,0.150312677,462.000000000
1686072722.676572,0.312147588,0.149885282,462.000000000
1686072723.088969,0.281087279,0.149392024,590.000000000
1686072723.672278,0.259747922,0.148867056,652.000000000
1686072724.094697,0.260161072,0.148310661,590.000000000
1686072724.466844,0.291640788,0.147718355,462.000000000
1686072724.889258,0.274161577,0.147112995,328.000000000
1686072725.291561,0.252551019,0.146428734,258.000000000
1686072725.663724,0.272127926,0.145743847,526.000000000
1686072726.056025,0.311966360,0.145056337,652.000000000
1686072726.498567,0.308561087,0.144281328,775.000000000
1686072726.870688,0.325429559,0.143479019,652.000000000
1686072727.323278,0.333938211,0.142567694,714.000000000
