__time,/amcl_pose/header/seq,/amcl_pose/header/stamp,/amcl_pose/pose/covariance[0],/amcl_pose/pose/covariance[10],/amcl_pose/pose/covariance[11],/amcl_pose/pose/covariance[12],/amcl_pose/pose/covariance[13],/amcl_pose/pose/covariance[14],/amcl_pose/pose/covariance[15],/amcl_pose/pose/covariance[16],/amcl_pose/pose/covariance[17],/amcl_pose/pose/covariance[18],/amcl_pose/pose/covariance[19],/amcl_pose/pose/covariance[1],/amcl_pose/pose/covariance[20],/amcl_pose/pose/covariance[21],/amcl_pose/pose/covariance[22],/amcl_pose/pose/covariance[23],/amcl_pose/pose/covariance[24],/amcl_pose/pose/covariance[25],/amcl_pose/pose/covariance[26],/amcl_pose/pose/covariance[27],/amcl_pose/pose/covariance[28],/amcl_pose/pose/covariance[29],/amcl_pose/pose/covariance[2],/amcl_pose/pose/covariance[30],/amcl_pose/pose/covariance[31],/amcl_pose/pose/covariance[32],/amcl_pose/pose/covariance[33],/amcl_pose/pose/covariance[34],/amcl_pose/pose/covariance[35],/amcl_pose/pose/covariance[3],/amcl_pose/pose/covariance[4],/amcl_pose/pose/covariance[5],/amcl_pose/pose/covariance[6],/amcl_pose/pose/covariance[7],/amcl_pose/pose/covariance[8],/amcl_pose/pose/covariance[9],/amcl_pose/pose/pose/orientation/w,/amcl_pose/pose/pose/orientation/x,/amcl_pose/pose/pose/orientation/y,/amcl_pose/pose/pose/orientation/z,/amcl_pose/pose/pose/position/x,/amcl_pose/pose/pose/position/y,/amcl_pose/pose/pose/position/z,Lower Bound X,Lower Bound Y,Upper Bound X,Upper Bound Y
1539699415.940221,1.000000000,1539699415.881080151,0.169024397,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.004699063,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.096040723,0.000000000,0.000000000,0.000000000,-0.004699063,0.135951045,0.000000000,0.000000000,0.992429997,0.000000000,0.000000000,0.122811646,0.262921477,0.020861726,0.000000000,-0.559330058,-0.716569071,1.085173013,0.758292522
1539699417.112218,2.000000000,1539699417.084652901,0.112219951,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.005468992,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.097603423,0.000000000,0.000000000,0.000000000,-0.005468992,0.086050597,0.000000000,0.000000000,0.943027276,0.000000000,0.000000000,0.332715429,0.443601004,0.067235389,0.000000000,-0.226383923,-0.519452253,1.113585931,0.653923032
1539699418.304192,3.000000000,1539699418.288478851,0.061686804,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.005324453,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.081432081,0.000000000,0.000000000,0.000000000,-0.005324453,0.052746035,0.000000000,0.000000000,0.849767163,0.000000000,0.000000000,0.527158201,0.543381737,0.213106639,0.000000000,0.046645172,-0.246223460,1.040118303,0.672436738
1539699419.922888,4.000000000,1539699419.893621206,0.037503966,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.007336861,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.073825754,0.000000000,0.000000000,0.000000000,-0.007336861,0.041076442,0.000000000,0.000000000,0.698082196,0.000000000,0.000000000,0.716017631,0.581614162,0.477369086,0.000000000,0.194295347,0.072022608,0.968932978,0.882715563
1539699421.530402,5.000000000,1539699421.498627186,0.030646242,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.004654608,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.072962192,0.000000000,0.000000000,0.000000000,-0.004654608,0.030843708,0.000000000,0.000000000,0.522372951,0.000000000,0.000000000,0.852717128,0.531753054,0.733462237,0.000000000,0.181631693,0.382214700,0.881874415,1.084709773
1539699422.732522,6.000000000,1539699422.702642202,0.030921781,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.006487825,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.058425180,0.000000000,0.000000000,0.000000000,-0.006487825,0.020111119,0.000000000,0.000000000,0.309534227,0.000000000,0.000000000,0.950888302,0.411263378,0.868786161,0.000000000,0.059571575,0.585158807,0.762955182,1.152413515
1539699424.167699,7.000000000,1539699424.107737064,0.034487237,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.004961445,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.052821726,0.000000000,0.000000000,0.000000000,-0.004961445,0.015172495,0.000000000,0.000000000,0.100692874,0.000000000,0.000000000,0.994917557,0.197216383,0.962211503,0.000000000,-0.174198412,0.715858141,0.568631178,1.208564865
1539699425.948218,8.000000000,1539699425.913881779,0.038219652,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000164064,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.068026877,0.000000000,0.000000000,0.000000000,0.000164064,0.018471217,0.000000000,0.000000000,0.137485444,0.000000000,0.000000000,-0.990503787,-0.106035643,0.969921002,0.000000000,-0.497032582,0.698103291,0.284961297,1.241738713
1539699426.928579,9.000000000,1539699426.917620897,0.031776559,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.002341001,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.067999725,0.000000000,0.000000000,0.000000000,0.002341001,0.017240203,0.000000000,0.000000000,0.386943112,0.000000000,0.000000000,-0.922103589,-0.223946367,0.910657593,0.000000000,-0.580465982,0.648053685,0.132573249,1.173261501
1539699427.758505,10.000000000,1539699427.720151186,0.023007827,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.002270473,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.061342971,0.000000000,0.000000000,0.000000000,0.002270473,0.019370587,0.000000000,0.000000000,0.573319039,0.000000000,0.000000000,-0.819332216,-0.277514992,0.821396791,0.000000000,-0.580881613,0.543040282,0.025851628,1.099753300
1539699429.162184,11.000000000,1539699429.125025988,0.018288869,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000147795,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.076375839,0.000000000,0.000000000,0.000000000,0.000147795,0.026657929,0.000000000,0.000000000,0.782876170,0.000000000,0.000000000,-0.622177548,-0.286528398,0.612204598,0.000000000,-0.557001089,0.285659476,-0.016055706,0.938749720
1539699432.362620,12.000000000,1539699432.335016966,0.045885286,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.004098910,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.113460459,0.000000000,0.000000000,0.000000000,-0.004098910,0.033330198,0.000000000,0.000000000,0.707892020,0.000000000,0.000000000,-0.706320669,-0.215481061,0.103695197,0.000000000,-0.643898080,-0.261436003,0.212935959,0.468826396
1539699434.562815,13.000000000,1539699434.542498589,0.069523294,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.007703836,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.124592430,0.000000000,0.000000000,0.000000000,-0.007703836,0.032815041,0.000000000,0.000000000,0.570837433,0.000000000,0.000000000,-0.821063107,-0.237989316,-0.237104877,0.000000000,-0.765334722,-0.599403323,0.289356090,0.125193569
1539699435.757459,14.000000000,1539699435.746249437,0.069306952,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.006172389,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.102406296,0.000000000,0.000000000,0.000000000,-0.006172389,0.026392116,0.000000000,0.000000000,0.335168932,0.000000000,0.000000000,-0.942158048,-0.338699360,-0.380842875,0.000000000,-0.865223631,-0.705755885,0.187824910,-0.055929866
1539699436.769227,15.000000000,1539699436.750048161,0.063478772,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.007704611,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.085335379,0.000000000,0.000000000,0.000000000,-0.007704611,0.021239328,0.000000000,0.000000000,0.098066077,0.000000000,0.000000000,-0.995179906,-0.460405939,-0.454356258,0.000000000,-0.964305820,-0.745830633,0.043493941,-0.162881883
1539699437.597281,16.000000000,1539699437.552372217,0.052439666,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.010753236,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.067561483,0.000000000,0.000000000,0.000000000,-0.010753236,0.017464707,0.000000000,0.000000000,0.116706708,0.000000000,0.000000000,0.993166423,-0.580870648,-0.456899094,0.000000000,-1.038864824,-0.721207299,-0.122876472,-0.192590889
