__time,/amcl_pose/header/seq,/amcl_pose/header/stamp,/amcl_pose/pose/covariance[0],/amcl_pose/pose/covariance[10],/amcl_pose/pose/covariance[11],/amcl_pose/pose/covariance[12],/amcl_pose/pose/covariance[13],/amcl_pose/pose/covariance[14],/amcl_pose/pose/covariance[15],/amcl_pose/pose/covariance[16],/amcl_pose/pose/covariance[17],/amcl_pose/pose/covariance[18],/amcl_pose/pose/covariance[19],/amcl_pose/pose/covariance[1],/amcl_pose/pose/covariance[20],/amcl_pose/pose/covariance[21],/amcl_pose/pose/covariance[22],/amcl_pose/pose/covariance[23],/amcl_pose/pose/covariance[24],/amcl_pose/pose/covariance[25],/amcl_pose/pose/covariance[26],/amcl_pose/pose/covariance[27],/amcl_pose/pose/covariance[28],/amcl_pose/pose/covariance[29],/amcl_pose/pose/covariance[2],/amcl_pose/pose/covariance[30],/amcl_pose/pose/covariance[31],/amcl_pose/pose/covariance[32],/amcl_pose/pose/covariance[33],/amcl_pose/pose/covariance[34],/amcl_pose/pose/covariance[35],/amcl_pose/pose/covariance[3],/amcl_pose/pose/covariance[4],/amcl_pose/pose/covariance[5],/amcl_pose/pose/covariance[6],/amcl_pose/pose/covariance[7],/amcl_pose/pose/covariance[8],/amcl_pose/pose/covariance[9],/amcl_pose/pose/pose/orientation/w,/amcl_pose/pose/pose/orientation/x,/amcl_pose/pose/pose/orientation/y,/amcl_pose/pose/pose/orientation/z,/amcl_pose/pose/pose/position/x,/amcl_pose/pose/pose/position/y,/amcl_pose/pose/pose/position/z,Lower Bound X,Lower Bound Y,Upper Bound X,Upper Bound Y
1539699414.500108,1.000000000,1539699414.475733757,0.155669303,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.009493929,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.066931414,0.000000000,0.000000000,0.000000000,-0.009493929,0.138833678,0.000000000,0.000000000,0.999999124,0.000000000,0.000000000,0.001323649,0.041581279,-0.004422352,0.000000000,-0.747517707,-0.749630185,0.830680265,0.740785480
1539699414.903902,2.000000000,1539699414.877129316,0.091772953,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.004900402,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.055486719,0.000000000,0.000000000,0.000000000,-0.004900402,0.068646437,0.000000000,0.000000000,0.999997378,0.000000000,0.000000000,-0.002289766,0.087919458,-0.012929674,0.000000000,-0.517961564,-0.536938976,0.693800479,0.511079629
1539699415.317462,3.000000000,1539699415.278359175,0.049908420,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001065217,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.040210589,0.000000000,0.000000000,0.000000000,-0.001065217,0.031429242,0.000000000,0.000000000,0.999747614,0.000000000,0.000000000,0.022465705,0.146384984,-0.013824257,0.000000000,-0.300418864,-0.368390142,0.593188832,0.340741628
1539699415.731283,4.000000000,1539699415.679631710,0.030385682,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000635289,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.029238986,0.000000000,0.000000000,0.000000000,-0.000635289,0.015557392,0.000000000,0.000000000,0.996564716,0.000000000,0.000000000,0.082817669,0.218886770,-0.005990807,0.000000000,-0.129743018,-0.255449358,0.567516558,0.243467744
1539699416.115191,5.000000000,1539699416.080893278,0.017112352,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001191430,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.020819049,0.000000000,0.000000000,0.000000000,0.001191430,0.008752391,0.000000000,0.000000000,0.988200783,0.000000000,0.000000000,0.153164008,0.278328949,0.010288487,0.000000000,0.016700571,-0.176819941,0.539957327,0.197396915
1539699416.499054,6.000000000,1539699416.482127428,0.012103199,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001106596,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.015961628,0.000000000,0.000000000,0.000000000,0.001106596,0.006699172,0.000000000,0.000000000,0.974163396,0.000000000,0.000000000,0.225844367,0.334967400,0.033896866,0.000000000,0.114938319,-0.129800077,0.554996480,0.197593810
1539699416.892582,7.000000000,1539699416.883394480,0.008735148,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000701958,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.012751223,0.000000000,0.000000000,0.000000000,0.000701958,0.004835231,0.000000000,0.000000000,0.954235415,0.000000000,0.000000000,0.299056469,0.387253591,0.067364127,0.000000000,0.200329563,-0.071707530,0.574177619,0.206435784
1539699417.295814,8.000000000,1539699417.285885811,0.007762496,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000966878,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.011872306,0.000000000,0.000000000,0.000000000,0.000966878,0.004434867,0.000000000,0.000000000,0.929149144,0.000000000,0.000000000,0.369705109,0.432174041,0.102697235,0.000000000,0.255963989,-0.030492365,0.608384093,0.235886835
1539699417.749923,9.000000000,1539699417.687153816,0.006558619,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000826914,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.011066326,0.000000000,0.000000000,0.000000000,0.000826914,0.004770094,0.000000000,0.000000000,0.898303453,0.000000000,0.000000000,0.439375587,0.474187596,0.146630174,0.000000000,0.312216996,0.008498438,0.636158196,0.284761910
1539699418.143446,10.000000000,1539699418.088486671,0.006091256,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000749998,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.010166827,0.000000000,0.000000000,0.000000000,0.000749998,0.004079434,0.000000000,0.000000000,0.864309792,0.000000000,0.000000000,0.502959823,0.512090953,0.200899775,0.000000000,0.355997949,0.073158884,0.668183956,0.328640666
